item, vendorA , vendorB 
ELECTRONICS-71,1197.58,1209.99
ELECTRONICS-72,439.75,449.99
ELECTRONICS-73,570,229.99
ELECTRONICS-74,297,304.99
ELECTRONICS-75,2798,1499.99
ELECTRONICS-76,127,149.95
ELECTRONICS-77,1197,799.99
ELECTRONICS-78,397,299.99
ELECTRONICS-79,28,49.99
ELECTRONICS-80,38,59.99
ELECTRONICS-81,117.4,91.98
ELECTRONICS-82,47.4,44.99
ELECTRONICS-83,150.5,44.99
ELECTRONICS-84,110.4,119.99
ELECTRONICS-85,247,249.95
ELECTRONICS-86,233.2,249.99
ELECTRONICS-87,569,999.99
ELECTRONICS-88,776.5,549.99
ELECTRONICS-89,628.2,629.99
ELECTRONICS-90,121.6,129.99
ELECTRONICS-91,237.4,249.99
ELECTRONICS-92,282.8,299.99
ELECTRONICS-93,187.5,129.99
ELECTRONICS-94,370.2,99.99
ELECTRONICS-95,141.6,99.99
ELECTRONICS-96,1423.5,1799.99
ELECTRONICS-97,15,54.95
ELECTRONICS-98,56.4,49.95
ELECTRONICS-99,284,299.99
ELECTRONICS-100,37,49.95
ELECTRONICS-101,38,59.95
ELECTRONICS-102,28,49.95
ELECTRONICS-103,31.75,39.95
ELECTRONICS-104,1097.5,1399.95
ELECTRONICS-105,63.25,99.99
ELECTRONICS-106,872.54,899.99
ELECTRONICS-107,1250.1,1299
ELECTRONICS-108,247,249
ELECTRONICS-109,63.55,79.95
ELECTRONICS-110,555.87,499.99
ELECTRONICS-111,147,150
ELECTRONICS-112,425.6,528
ELECTRONICS-113,568.4,759.99
ELECTRONICS-114,21,20
ELECTRONICS-115,949,699.99
ELECTRONICS-116,281.8,189.98
ELECTRONICS-117,127,129.99
ELECTRONICS-118,37.4,39.95
ELECTRONICS-119,18.5,15.96
ELECTRONICS-120,28,10.99
ELECTRONICS-121,297,299.95
ELECTRONICS-122,56.8,39.95
ELECTRONICS-123,38,39.99
ELECTRONICS-124,247,249.95
ELECTRONICS-125,56.4,54.95
ELECTRONICS-126,38,39.99
ELECTRONICS-127,56.5,49.99
ELECTRONICS-128,120,120
ELECTRONICS-129,165.84,169.95
ELECTRONICS-130,17.28,15.96
ELECTRONICS-131,184.57,199.99
ELECTRONICS-132,294.19,194.95
ELECTRONICS-133,55,59.95
ELECTRONICS-134,7,12.95
ELECTRONICS-135,34.97,30.57
ELECTRONICS-136,174.84,133.22
ELECTRONICS-137,297,299.99
ELECTRONICS-138,321,399.99
ELECTRONICS-139,297,199.95
ELECTRONICS-140,397,479.97
ELECTRONICS-141,1075,1095.95
ELECTRONICS-142,860.23,699.99
ELECTRONICS-143,639.75,649.99
ELECTRONICS-144,90.25,129
ELECTRONICS-145,135.5,149.99
ELECTRONICS-146,93.25,499.99
ELECTRONICS-147,108.75,119.99
ELECTRONICS-148,37.5,19.99
ELECTRONICS-149,310.25,189.98
ELECTRONICS-150,118.75,119.99
ELECTRONICS-151,147,149.95
ELECTRONICS-152,14.75,24.99
ELECTRONICS-153,37,29.99
ELECTRONICS-154,24.25,35.99
ELECTRONICS-155,14.75,19.99
ELECTRONICS-156,18.75,19.99
ELECTRONICS-157,14,19.99
ELECTRONICS-158,113,79.99
ELECTRONICS-159,70.4,79.99
ELECTRONICS-160,19,44.99
ELECTRONICS-161,7.6,12
ELECTRONICS-162,151,189
ELECTRONICS-163,349.6,399.99
ELECTRONICS-164,497,499.99
ELECTRONICS-165,127,129.95
ELECTRONICS-166,297,299.99
ELECTRONICS-167,20,39.99
ELECTRONICS-168,469.2,699.99
ELECTRONICS-169,30.8,39.99
ELECTRONICS-170,41,45.03
ELECTRONICS-171,297,299.95
ELECTRONICS-172,311.6,399.99
ELECTRONICS-173,330.6,399.99
ELECTRONICS-174,190,349
ELECTRONICS-175,900.5,499
ELECTRONICS-176,38.22,29.99
ELECTRONICS-177,5,9.99
ELECTRONICS-178,5.25,9.99
ELECTRONICS-179,18.57,14.99
ELECTRONICS-180,37,29.99
ELECTRONICS-181,12.25,29.99
ELECTRONICS-182,147,199.99
ELECTRONICS-183,1.99,1.99
ELECTRONICS-184,5,4.99
ELECTRONICS-185,4.53,4.99
ELECTRONICS-186,397,399
ELECTRONICS-187,697,699
ELECTRONICS-188,63,69
ELECTRONICS-189,47,79
ELECTRONICS-190,28.8,39
ELECTRONICS-191,26,29
ELECTRONICS-192,27.2,29.49
ELECTRONICS-193,46.5,49
ELECTRONICS-194,26.5,39.95
ELECTRONICS-195,424.5,249.99
ELECTRONICS-196,296.75,299.99
ELECTRONICS-197,40.75,34.99
ELECTRONICS-198,197,199.99
ELECTRONICS-199,461.5,499.99
ELECTRONICS-200,34.25,39.99
ELECTRONICS-201,13.75,19.99
ELECTRONICS-202,17.5,19.99
ELECTRONICS-203,47.25,59.99
ELECTRONICS-204,284.75,499.99
ELECTRONICS-205,92.5,119.99
ELECTRONICS-206,7,9.99
ELECTRONICS-207,379,849.95
ELECTRONICS-208,375.8,259.99
ELECTRONICS-209,142.2,249.99
ELECTRONICS-210,84.2,34.99
ELECTRONICS-211,86,89.99
ELECTRONICS-212,206,249.95
ELECTRONICS-213,20,59.99
ELECTRONICS-214,56.5,129.99
ELECTRONICS-215,20.6,24.99
ELECTRONICS-216,71.2,49
ELECTRONICS-217,18,29.95
ELECTRONICS-218,176,199.95
ELECTRONICS-219,17.4,69.99
ELECTRONICS-220,46,29.99
ELECTRONICS-221,140.6,99.99
ELECTRONICS-222,24.75,16.79
ELECTRONICS-223,7,15
ELECTRONICS-224,12,20
ELECTRONICS-225,9,10
ELECTRONICS-226,46.8,119.99
ELECTRONICS-227,236.5,249.99
ELECTRONICS-228,10,10
ELECTRONICS-229,17.8,10
ELECTRONICS-230,35.25,49.99
ELECTRONICS-231,47,49.95
ELECTRONICS-232,128.5,139.99
ELECTRONICS-233,113,99.99
ELECTRONICS-234,125.8,99.99
ELECTRONICS-235,283.2,299.95
ELECTRONICS-236,502.4,599.99
ELECTRONICS-237,120.5,199.99
ELECTRONICS-238,199.99,199.95
ELECTRONICS-239,23.99,24.99
ELECTRONICS-240,37,49.99
ELECTRONICS-241,59.97,44.99
ELECTRONICS-242,1534.5,174.99
ELECTRONICS-243,234.25,284.63
ELECTRONICS-244,12,14.95
ELECTRONICS-245,10.25,19.99
ELECTRONICS-246,434.75,429.99
ELECTRONICS-247,254.5,279.88
ELECTRONICS-248,197,199.95
ELECTRONICS-249,54.5,199.95
ELECTRONICS-250,38,39.95
ELECTRONICS-251,197,199.95
ELECTRONICS-252,54.5,50
ELECTRONICS-253,38,39.95
ELECTRONICS-254,108.75,199.95
ELECTRONICS-255,12,14.95
ELECTRONICS-256,856.5,1099.99
ELECTRONICS-257,876.25,999.99
ELECTRONICS-258,674.58,979.99
ELECTRONICS-259,218.23,249.99
ELECTRONICS-260,47.53,69.99
ELECTRONICS-261,45.21,34.99
ELECTRONICS-262,45.21,109.99
ELECTRONICS-263,138.26,249.99
ELECTRONICS-264,297,249
ELECTRONICS-265,68.47,49.99
ELECTRONICS-266,75.25,99.99
ELECTRONICS-267,138.26,105
ELECTRONICS-268,473.61,199.99
ELECTRONICS-269,157,159
ELECTRONICS-270,35.26,49.99
ELECTRONICS-271,118.22,134.99
ELECTRONICS-272,7,15
ELECTRONICS-273,727,729
ELECTRONICS-274,47,49
ELECTRONICS-275,147,149
ELECTRONICS-276,46.52,99.99
ELECTRONICS-277,24.54,24.99
ELECTRONICS-278,81.62,109.99
ELECTRONICS-279,55.87,79.99
ELECTRONICS-280,247,249.99
ELECTRONICS-281,84.73,129.99
ELECTRONICS-282,12,18.75
ELECTRONICS-283,247,249.99
ELECTRONICS-284,53.26,54.95
ELECTRONICS-285,53.26,54.95
ELECTRONICS-286,238.11,219.99
ELECTRONICS-287,923.56,1399.95
ELECTRONICS-288,1750.14,999.99
ELECTRONICS-289,353.26,399.99
ELECTRONICS-290,167.25,229.99
ELECTRONICS-291,9.99,7
ELECTRONICS-292,38,49.95
ELECTRONICS-293,32.25,27.99
ELECTRONICS-294,19,39.99
ELECTRONICS-295,32.5,39.99
ELECTRONICS-296,40,39.99
ELECTRONICS-297,51,49.99
ELECTRONICS-298,14.75,19.99
ELECTRONICS-299,55,29.99
ELECTRONICS-300,127,169.99
ELECTRONICS-301,97,99.99
ELECTRONICS-302,147,199.95
ELECTRONICS-303,26,34.98
ELECTRONICS-304,147,149.95
ELECTRONICS-305,9.75,19.95
ELECTRONICS-306,14.5,7.98
ELECTRONICS-307,55.52,49.99
ELECTRONICS-308,181.25,229.99
ELECTRONICS-309,14.75,16.99
ELECTRONICS-310,49.25,79.99
ELECTRONICS-311,210.5,199.99
ELECTRONICS-312,415.65,399.95
ELECTRONICS-313,55.25,129
ELECTRONICS-314,9.5,0.99
ELECTRONICS-315,29.99,321
ELECTRONICS-316,100,100
ELECTRONICS-317,597,599.99
ELECTRONICS-318,37,39.99
ELECTRONICS-319,24,29.99
ELECTRONICS-320,397,299.99
ELECTRONICS-321,19,49.95
ELECTRONICS-322,36,49.95
ELECTRONICS-323,67.95,54.99
ELECTRONICS-324,127,99.99
ELECTRONICS-325,25,24.95
ELECTRONICS-326,697,499.99
ELECTRONICS-327,197,199.99
ELECTRONICS-328,127,129.99
ELECTRONICS-329,290.4,399.99
ELECTRONICS-330,287.8,199.99
ELECTRONICS-331,20.2,29.99
ELECTRONICS-332,88.6,34.99
ELECTRONICS-333,84.4,109.99
ELECTRONICS-334,89.25,99.99
ELECTRONICS-335,109.75,69.99
ELECTRONICS-336,297,199
ELECTRONICS-337,894,868.99
ELECTRONICS-338,1029.75,899.99
ELECTRONICS-339,118.5,89.99
ELECTRONICS-340,463.5,449.99
ELECTRONICS-341,45,34.99
ELECTRONICS-342,143.25,154.99
ELECTRONICS-343,186,449.99
ELECTRONICS-344,644.25,999.99
ELECTRONICS-345,170,379
ELECTRONICS-346,92.06,129.99
ELECTRONICS-347,247,299.99
ELECTRONICS-348,147,149.99
ELECTRONICS-349,28,39.95
ELECTRONICS-350,159,174
ELECTRONICS-351,32.26,39.99
ELECTRONICS-352,749.58,499
ELECTRONICS-353,247,249.95
ELECTRONICS-354,29.95,24.99
ELECTRONICS-355,396.75,579.99
ELECTRONICS-356,303.5,322.57
ELECTRONICS-357,319.5,249.98
ELECTRONICS-358,181.5,229.99
ELECTRONICS-359,120.25,124.98
ELECTRONICS-360,136.75,299.99
ELECTRONICS-361,40.75,99.99
ELECTRONICS-362,207.25,249.99
ELECTRONICS-363,136.5,179.99
ELECTRONICS-364,104.75,199.99
ELECTRONICS-365,136.75,299.99
ELECTRONICS-366,13.5,69.99
ELECTRONICS-367,9.5,20
ELECTRONICS-368,87.75,64.99
ELECTRONICS-369,497,629.95
ELECTRONICS-370,231.25,329.99
ELECTRONICS-371,414.5,449.99
ELECTRONICS-372,18.5,34.97
ELECTRONICS-373,497,499.95
ELECTRONICS-374,147.25,199
ELECTRONICS-375,101.75,89.99
ELECTRONICS-376,44.25,29.99
ELECTRONICS-377,64.75,73.99
ELECTRONICS-378,923.25,1299.99
ELECTRONICS-379,923.25,2199.99
ELECTRONICS-380,46.25,39.99
ELECTRONICS-381,229.25,269.99
ELECTRONICS-382,72.25,99.99
ELECTRONICS-383,388.25,279.99
ELECTRONICS-384,44,39.99
ELECTRONICS-385,83.25,89.99
ELECTRONICS-386,229.75,129.99
ELECTRONICS-387,247,249.95
ELECTRONICS-388,37.5,39.99
ELECTRONICS-389,71.25,49.99
ELECTRONICS-390,297,299.99
ELECTRONICS-391,167,169.99
ELECTRONICS-392,115,129.99
ELECTRONICS-393,297,199.95
ELECTRONICS-394,46.75,59.99
ELECTRONICS-395,147,129.95
ELECTRONICS-396,12,15.99
ELECTRONICS-397,700,229.99
ELECTRONICS-398,99,49.99
ELECTRONICS-399,297.5,349.99
ELECTRONICS-400,29.75,34.99
ELECTRONICS-401,12,10
ELECTRONICS-402,245.75,169.99
ELECTRONICS-403,415.5,549.99
ELECTRONICS-404,8.25,20
ELECTRONICS-405,41.5,39.99
ELECTRONICS-406,397.75,499.99
ELECTRONICS-407,259.25,199.99
ELECTRONICS-408,397.75,549.99
ELECTRONICS-409,832.5,899.99
ELECTRONICS-410,40,39
ELECTRONICS-411,36.4,44.44
ELECTRONICS-412,22,40
ELECTRONICS-413,74.6,54.99
ELECTRONICS-414,75.2,98
ELECTRONICS-415,13.8,15
ELECTRONICS-416,89.2,130
ELECTRONICS-417,35,24.99
ELECTRONICS-418,35,24.99
ELECTRONICS-419,91,99.99
ELECTRONICS-420,35,24.99
ELECTRONICS-421,1545.5,1499.99
ELECTRONICS-422,119.5,99.99
ELECTRONICS-423,167,169.99
ELECTRONICS-424,127,129.99
ELECTRONICS-425,35,24.95
ELECTRONICS-426,35,34.95
ELECTRONICS-427,12,12.95
ELECTRONICS-428,18,21.95
ELECTRONICS-429,7.25,8
ELECTRONICS-430,22.75,89.99
ELECTRONICS-431,882.5,879.99
ELECTRONICS-432,9,14.99
ELECTRONICS-433,2089.5,1899.99
ELECTRONICS-434,376,399.99
ELECTRONICS-435,38,49.95
ELECTRONICS-436,449,399.99
ELECTRONICS-437,272.25,349.99
ELECTRONICS-438,18.25,29.99
ELECTRONICS-439,59.75,69.99
ELECTRONICS-440,645.5,699.99
ELECTRONICS-441,414.25,479.99
ELECTRONICS-442,297,299.99
ELECTRONICS-443,297,249.99
ELECTRONICS-444,4.75,20
ELECTRONICS-445,4.75,20
ELECTRONICS-446,17.5,15.96
ELECTRONICS-447,950,1549.95
ELECTRONICS-448,407.4,299.99
ELECTRONICS-449,56.8,109.99
ELECTRONICS-450,16.5,29
ELECTRONICS-451,414.5,449.99
