Word,Length,Has_an_e
are,3,TRUE
armed,5,TRUE
Armies,6,TRUE
armies,6,TRUE
Arms,4,FALSE
as,2,FALSE
as,2,FALSE
as,2,FALSE
as,2,FALSE
Assembled,9,TRUE
Assent,6,TRUE
Assent,6,TRUE
Assent,6,TRUE
Assent,6,TRUE
assume,6,TRUE
at,2,FALSE
at,2,FALSE
at,2,FALSE
at,2,FALSE
attempts,8,TRUE
attend,6,TRUE
attention,9,TRUE
Authority,9,FALSE
away,4,FALSE
bands,5,FALSE
barbarous,9,FALSE
be,2,TRUE
be,2,TRUE
be,2,TRUE
be,2,TRUE
be,2,TRUE
be,2,TRUE
be,2,TRUE
be,2,TRUE
be,2,TRUE
bear,4,TRUE
become,6,TRUE
becomes,7,TRUE
becomes,7,TRUE
been,4,TRUE
been,4,TRUE
been,4,TRUE
been,4,TRUE
begun,5,TRUE
benefits,8,TRUE
between,7,TRUE
beyond,6,TRUE
bodies,6,TRUE
bodies,6,TRUE
Boundaries,10,TRUE
Brethren,8,TRUE
brethren,8,TRUE
bring,5,FALSE
Britain,7,FALSE
Britain,7,FALSE
British,7,FALSE
Brittish,8,FALSE
burnt,5,FALSE
But,3,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
by,2,FALSE
called,6,TRUE
candid,6,FALSE
Captive,7,TRUE
cases,5,TRUE
cases,5,TRUE
cause,5,TRUE
causes,6,TRUE
causes,6,TRUE
certain,7,TRUE
changed,7,TRUE
character,9,TRUE
Charters,8,TRUE
circumstances,13,TRUE
circumstances,13,TRUE
Citizens,8,TRUE
Civil,5,FALSE
civilized,9,TRUE
Coasts,6,FALSE
Colonies,8,TRUE
Colonies,8,TRUE
Colonies,8,TRUE
Colonies,8,TRUE
combined,8,TRUE
Commerce,8,TRUE
commit,6,FALSE
common,6,FALSE
compleat,8,TRUE
compliance,10,TRUE
conclude,8,TRUE
conditions,10,FALSE
conditions,10,FALSE
Congress,8,TRUE
conjured,8,TRUE
connected,9,TRUE
connection,10,TRUE
connections,11,TRUE
consanguinity,13,FALSE
consent,7,TRUE
Consent,7,TRUE
Consent,7,TRUE
constitution,12,FALSE
constrained,11,TRUE
constrains,10,FALSE
contract,8,FALSE
convulsions,11,FALSE
correspondence,14,TRUE
Country,7,FALSE
Course,6,TRUE
created,7,TRUE
Creator,7,TRUE
Crown,5,FALSE
Cruelty,7,TRUE
cutting,7,FALSE
dangers,7,TRUE
deaf,4,TRUE
death,5,TRUE
decent,6,TRUE
Declaration,11,TRUE
declare,7,TRUE
declare,7,TRUE
declaring,9,TRUE
declaring,9,TRUE
define,6,TRUE
denounces,9,TRUE
dependent,9,TRUE
depository,10,TRUE
depriving,9,TRUE
deriving,8,TRUE
design,6,TRUE
desolation,10,TRUE
Despotism,9,TRUE
destroyed,9,TRUE
destruction,11,TRUE
destructive,11,TRUE
dictate,7,TRUE
direct,6,TRUE
disavow,7,FALSE
disposed,8,TRUE
dissolutions,12,FALSE
dissolve,8,TRUE
dissolved,9,TRUE
dissolved,9,TRUE
distant,7,FALSE
districts,9,FALSE
Divine,6,TRUE
do,2,FALSE
do,2,FALSE
do,2,FALSE
domestic,8,TRUE
duty,4,FALSE
each,4,TRUE
earth,5,TRUE
eat,3,TRUE
effect,6,TRUE
elected,7,TRUE
emigration,10,TRUE
encourage,9,TRUE
endeavoured,11,TRUE
endeavoured,11,TRUE
endowed,7,TRUE
ends,4,TRUE
Enemies,7,TRUE
English,7,TRUE
enlarging,9,TRUE
entitle,7,TRUE
equal,5,TRUE
equal,5,TRUE
erected,7,TRUE
establish,9,TRUE
established,11,TRUE
establishing,12,TRUE
establishing,12,TRUE
establishment,13,TRUE
events,6,TRUE
every,5,TRUE
every,5,TRUE
evident,7,TRUE
evils,5,TRUE
evinces,7,TRUE
example,7,TRUE
excited,7,TRUE
executioners,12,TRUE
exercise,8,TRUE
experience,10,TRUE
exposed,7,TRUE
extend,6,TRUE
Facts,5,FALSE
fall,4,FALSE
fatiguing,9,FALSE
fellow,6,TRUE
firm,4,FALSE
firmness,8,TRUE
fit,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
for,3,FALSE
For,3,FALSE
For,3,FALSE
For,3,FALSE
For,3,FALSE
For,3,FALSE
For,3,FALSE
For,3,FALSE
For,3,FALSE
For,3,FALSE
forbidden,9,TRUE
foreign,7,TRUE
foreign,7,TRUE
Foreigners,10,TRUE
Form,4,FALSE
form,4,FALSE
former,6,TRUE
formidable,10,TRUE
forms,5,FALSE
Forms,5,FALSE
Fortunes,8,TRUE
foundation,10,FALSE
free,4,TRUE
free,4,TRUE
Free,4,TRUE
Free,4,TRUE
friends,7,TRUE
Friends,7,TRUE
from,4,FALSE
from,4,FALSE
from,4,FALSE
from,4,FALSE
from,4,FALSE
from,4,FALSE
frontiers,9,TRUE
full,4,FALSE
fundamentally,13,TRUE
future,6,TRUE
General,7,TRUE
giving,6,FALSE
God,3,FALSE
good,4,FALSE
good,4,FALSE
governed,8,TRUE
Government,10,TRUE
Government,10,TRUE
Government,10,TRUE
government,10,TRUE
Government,10,TRUE
Government,10,TRUE
Governments,11,TRUE
Governments,11,TRUE
Governments,11,TRUE
Governors,9,TRUE
Great,5,TRUE
Great,5,TRUE
Guards,6,FALSE
Hands,5,FALSE
Happiness,9,TRUE
Happiness,9,TRUE
harass,6,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
has,3,FALSE
hath,4,FALSE
have,4,TRUE
have,4,TRUE
have,4,TRUE
have,4,TRUE
have,4,TRUE
have,4,TRUE
have,4,TRUE
have,4,TRUE
have,4,TRUE
have,4,TRUE
have,4,TRUE
having,6,FALSE
he,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
He,2,TRUE
Head,4,TRUE
here,4,TRUE
here,4,TRUE
high,4,FALSE
his,3,FALSE
his,3,FALSE
his,3,FALSE
his,3,FALSE
his,3,FALSE
his,3,FALSE
his,3,FALSE
his,3,FALSE
his,3,FALSE
history,7,FALSE
history,7,FALSE
hither,6,TRUE
hither,6,TRUE
hold,4,FALSE
hold,4,FALSE
hold,4,FALSE
Honor,5,FALSE
Houses,6,TRUE
human,5,FALSE
humble,6,TRUE
immediate,9,TRUE
impel,5,TRUE
importance,10,TRUE
imposing,8,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
in,2,FALSE
In,2,FALSE
incapable,9,TRUE
indeed,6,TRUE
independent,11,TRUE
Independent,11,TRUE
Independent,11,TRUE
Independent,11,TRUE
Indian,6,FALSE
inestimable,11,TRUE
inevitably,10,TRUE
Inhabitants,11,FALSE
inhabitants,11,FALSE
injuries,8,TRUE
injury,6,FALSE
institute,9,TRUE
instituted,10,TRUE
instrument,10,TRUE
insurrections,13,TRUE
intentions,10,TRUE
interrupt,9,TRUE
into,4,FALSE
into,4,FALSE
introducing,11,FALSE
invariably,10,FALSE
invasion,8,FALSE
invasions,9,FALSE
invested,8,TRUE
is,2,FALSE
is,2,FALSE
is,2,FALSE
is,2,FALSE
is,2,FALSE
is,2,FALSE
is,2,FALSE
is,2,FALSE
is,2,FALSE
is,2,FALSE
it,2,FALSE
it,2,FALSE
it,2,FALSE
it,2,FALSE
it,2,FALSE
it,2,FALSE
its,3,FALSE
its,3,FALSE
its,3,FALSE
Judge,5,TRUE
judges,6,TRUE
Judiciary,9,FALSE
jurisdiction,12,FALSE
jurisdiction,12,FALSE
Jury,4,FALSE
just,4,FALSE
Justice,7,TRUE
justice,7,TRUE
justice,7,TRUE
kept,4,TRUE
kindred,7,TRUE
King,4,FALSE
known,5,FALSE
Lands,5,FALSE
large,5,TRUE
large,5,TRUE
large,5,TRUE
large,5,TRUE
Laws,4,FALSE
Laws,4,FALSE
Laws,4,FALSE
Laws,4,FALSE
Laws,4,FALSE
Laws,4,FALSE
laws,4,FALSE
Laws,4,FALSE
Laws,4,FALSE
laying,6,FALSE
legislate,9,TRUE
legislation,11,TRUE
legislative,11,TRUE
Legislative,11,TRUE
Legislature,11,TRUE
legislature,11,TRUE
Legislatures,12,TRUE
legislatures,12,TRUE
let,3,TRUE
levy,4,TRUE
Liberty,7,TRUE
Life,4,TRUE
light,5,FALSE
likely,6,TRUE
lives,5,TRUE
Lives,5,TRUE
long,4,FALSE
long,4,FALSE
long,4,FALSE
made,4,TRUE
magnanimity,11,FALSE
mankind,7,FALSE
mankind,7,FALSE
mankind,7,FALSE
manly,5,FALSE
many,4,FALSE
marked,6,TRUE
may,3,FALSE
may,3,FALSE
mean,4,TRUE
measures,8,TRUE
men,3,TRUE
Men,3,TRUE
mercenaries,11,TRUE
merciless,9,TRUE
migration,9,FALSE
Military,8,FALSE
mock,4,FALSE
more,4,TRUE
most,4,FALSE
most,4,FALSE
most,4,FALSE
most,4,FALSE
most,4,FALSE
multitude,9,TRUE
Murders,7,TRUE
must,4,FALSE
mutually,8,FALSE
Name,4,TRUE
nation,6,FALSE
native,6,TRUE
Naturalization,14,FALSE
Nature,6,TRUE
Nature's,8,TRUE
necessary,9,TRUE
necessary,9,TRUE
necessity,9,TRUE
necessity,9,TRUE
neglected,9,TRUE
neighbouring,12,TRUE
new,3,TRUE
new,3,TRUE
new,3,TRUE
New,3,TRUE
Nor,3,FALSE
not,3,FALSE
now,3,FALSE
Object,6,TRUE
object,6,TRUE
obstructed,10,TRUE
obstructing,11,FALSE
obtained,8,TRUE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
of,2,FALSE
off,3,FALSE
off,3,FALSE
offences,8,TRUE
Officers,8,TRUE
offices,7,TRUE
Offices,7,TRUE
on,2,FALSE
on,2,FALSE
on,2,FALSE
on,2,FALSE
on,2,FALSE
on,2,FALSE
on,2,FALSE
on,2,FALSE
once,4,TRUE
one,3,TRUE
only,4,FALSE
only,4,FALSE
operation,9,TRUE
opinions,8,FALSE
opposing,8,FALSE
Oppressions,11,TRUE
or,2,FALSE
or,2,FALSE
organizing,10,FALSE
other,5,TRUE
other,5,TRUE
other,5,TRUE
others,6,TRUE
others,6,TRUE
others,6,TRUE
ought,5,FALSE
ought,5,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
Our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
our,3,FALSE
out,3,FALSE
out,3,FALSE
over,4,TRUE
over,4,TRUE
own,3,FALSE
paralleled,10,TRUE
parts,5,FALSE
pass,4,FALSE
pass,4,FALSE
pass,4,FALSE
patient,7,TRUE
payment,7,TRUE
peace,5,TRUE
Peace,5,TRUE
Peace,5,TRUE
people,6,TRUE
People,6,TRUE
people,6,TRUE
people,6,TRUE
People,6,TRUE
People,6,TRUE
People,6,TRUE
people,6,TRUE
people,6,TRUE
People,6,TRUE
perfidy,7,TRUE
Petitioned,10,TRUE
Petitions,9,TRUE
places,6,TRUE
pledge,6,TRUE
plundered,9,TRUE
political,9,FALSE
political,9,FALSE
population,10,FALSE
Power,5,TRUE
Power,5,TRUE
Power,5,TRUE
Powers,6,TRUE
powers,6,TRUE
powers,6,TRUE
Powers,6,TRUE
Powers,6,TRUE
present,7,TRUE
pressing,8,TRUE
pretended,9,TRUE
pretended,9,TRUE
prevent,7,TRUE
Prince,6,TRUE
principles,10,TRUE
protecting,10,TRUE
Protection,10,TRUE
Protection,10,TRUE
prove,5,TRUE
provide,7,TRUE
Providence,10,TRUE
Province,8,TRUE
Prudence,8,TRUE
public,6,FALSE
Public,6,FALSE
publish,7,FALSE
Punishment,10,TRUE
purpose,7,TRUE
purpose,7,TRUE
pursuing,8,FALSE
pursuit,7,FALSE
quartering,10,TRUE
raising,7,FALSE
ravaged,7,TRUE
Records,7,TRUE
rectitude,9,TRUE
Redress,7,TRUE
reduce,6,TRUE
refused,7,TRUE
refused,7,TRUE
refused,7,TRUE
refusing,8,TRUE
refusing,8,TRUE
reliance,8,TRUE
relinquish,10,TRUE
remaining,9,TRUE
reminded,8,TRUE
render,6,TRUE
render,6,TRUE
repeated,8,TRUE
repeated,8,TRUE
repeated,8,TRUE
repeatedly,10,TRUE
Representation,14,TRUE
Representative,14,TRUE
Representatives,15,TRUE
requires,8,TRUE
respect,7,TRUE
rest,4,TRUE
returned,8,TRUE
Right,5,FALSE
right,5,FALSE
right,5,FALSE
right,5,FALSE
right,5,FALSE
Right,5,FALSE
right,5,FALSE
Rights,6,FALSE
rights,6,FALSE
rights,6,FALSE
rule,4,TRUE
rule,4,TRUE
ruler,5,TRUE
sacred,6,TRUE
Safety,6,TRUE
salaries,8,TRUE
same,4,TRUE
same,4,TRUE
Savages,7,TRUE
scarcely,8,TRUE
Seas,4,TRUE
seas,4,TRUE
Seas,4,TRUE
secure,6,TRUE
security,8,TRUE
seem,4,TRUE
self,4,TRUE
sent,4,TRUE
separate,8,TRUE
Separation,10,TRUE
separation,10,TRUE
settlement,10,TRUE
sexes,5,TRUE
shall,5,FALSE
should,6,FALSE
should,6,FALSE
should,6,FALSE
should,6,FALSE
shown,5,FALSE
so,2,FALSE
so,2,FALSE
sole,4,TRUE
solemnly,8,TRUE
stage,5,TRUE
Standing,8,FALSE
State,5,TRUE
State,5,TRUE
States,6,TRUE
States,6,TRUE
States,6,TRUE
States,6,TRUE
States,6,TRUE
States,6,TRUE
States,6,TRUE
station,7,FALSE
subject,7,TRUE
submitted,9,TRUE
substance,9,TRUE
such,4,FALSE
such,4,FALSE
such,4,FALSE
such,4,FALSE
such,4,FALSE
Such,4,FALSE
suffer,6,TRUE
sufferable,10,TRUE
sufferance,10,TRUE
superior,8,TRUE
support,7,FALSE
Supreme,7,TRUE
suspended,9,TRUE
suspended,9,TRUE
suspending,10,TRUE
swarms,6,FALSE
System,6,TRUE
Systems,7,TRUE
taken,5,TRUE
taking,6,FALSE
taxes,5,TRUE
tenure,6,TRUE
terms,5,TRUE
than,4,FALSE
that,4,FALSE
that,4,FALSE
that,4,FALSE
that,4,FALSE
that,4,FALSE
that,4,FALSE
that,4,FALSE
That,4,FALSE
that,4,FALSE
that,4,FALSE
that,4,FALSE
That,4,FALSE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
The,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
the,3,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
their,5,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
them,4,TRUE
themselves,10,TRUE
themselves,10,TRUE
themselves,10,TRUE
therefore,9,TRUE
therefore,9,TRUE
therein,7,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
these,5,TRUE
they,4,TRUE
they,4,TRUE
they,4,TRUE
they,4,TRUE
They,4,TRUE
they,4,TRUE
they,4,TRUE
Things,6,FALSE
this,4,FALSE
this,4,FALSE
this,4,FALSE
those,5,TRUE
throw,5,FALSE
thus,4,FALSE
ties,4,TRUE
till,4,FALSE
time,4,TRUE
time,4,TRUE
time,4,TRUE
time,4,TRUE
time,4,TRUE
times,5,TRUE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
To,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
to,2,FALSE
together,8,TRUE
too,3,FALSE
totally,7,FALSE
totally,7,FALSE
towns,5,FALSE
Trade,5,TRUE
train,5,FALSE
transient,9,TRUE
transporting,12,FALSE
transporting,12,FALSE
Trial,5,FALSE
Trial,5,FALSE
tried,5,TRUE
troops,6,FALSE
truths,6,FALSE
Tyranny,7,FALSE
tyranny,7,FALSE
Tyrant,6,FALSE
tyrants,7,FALSE
unacknowledged,14,TRUE
unalienable,11,TRUE
uncomfortable,13,TRUE
under,5,TRUE
undistinguished,15,TRUE
unfit,5,FALSE
United,6,TRUE
United,6,TRUE
unless,6,TRUE
unless,6,TRUE
unusual,7,FALSE
unwarrantable,13,TRUE
unworthy,8,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
us,2,FALSE
usurpations,11,FALSE
usurpations,11,FALSE
usurpations,11,FALSE
utterly,7,TRUE
valuable,8,TRUE
voice,5,TRUE
waging,6,FALSE
wanting,7,FALSE
War,3,FALSE
War,3,FALSE
War,3,FALSE
warfare,7,TRUE
warned,6,TRUE
We,2,TRUE
We,2,TRUE
We,2,TRUE
We,2,TRUE
We,2,TRUE
we,2,TRUE
We,2,TRUE
we,2,TRUE
we,2,TRUE
We,2,TRUE
We,2,TRUE
whatsoever,10,TRUE
When,4,TRUE
when,4,TRUE
when,4,TRUE
whenever,8,TRUE
whereby,7,TRUE
which,5,FALSE
which,5,FALSE
which,5,FALSE
which,5,FALSE
which,5,FALSE
which,5,FALSE
which,5,FALSE
which,5,FALSE
which,5,FALSE
which,5,FALSE
while,5,TRUE
wholesome,9,TRUE
whose,5,TRUE
whose,5,TRUE
will,4,FALSE
Will,4,FALSE
with,4,FALSE
with,4,FALSE
with,4,FALSE
with,4,FALSE
with,4,FALSE
with,4,FALSE
with,4,FALSE
with,4,FALSE
with,4,FALSE
within,6,FALSE
without,7,FALSE
without,7,FALSE
without,7,FALSE
works,5,FALSE
world,5,FALSE
world,5,FALSE
world,5,FALSE
would,5,FALSE
would,5,FALSE
